reply_id,hateful_tweet_id,counter_hate_id,Q1,Q2,Q3,Q4
1364504065565093894,1364444425192005639,1364503631160954881,1.0,,,1.0
1507516585485148164,1507475083954036739,1507490000958820354,1.0,,,0.0
976720451148943360,959685036311064576,976558261498515456,1.0,,,0.0
976567337078882309,959685036311064576,976558261498515456,1.0,,,0.0
1359340305494011907,1359330367157764098,1359339633352478728,1.0,,,1.0
1336694257869074434,1336692051249913862,1336693330512654337,1.0,,,0.0
1263998633118056448,1263992979116572672,1263996933707833345,1.0,,,0.0
1396173736328548358,1396160077577527304,1396173620804788225,0.0,1.0,0.0,
1396166864728952833,1396160077577527304,1396166429125267458,1.0,,,0.0
1212457340340883457,1212183791768236032,1212320181763969024,1.0,,,0.0
1212311627258744839,1212183791768236032,1212189691329568768,1.0,,,0.0
1212311324991975424,1212183791768236032,1212240231258185728,1.0,,,0.0
1212310960691531777,1212183791768236032,1212207103894360065,1.0,,,0.0
1212310739773317120,1212183791768236032,1212184651281960960,1.0,,,0.0
1212310515701055493,1212183791768236032,1212299419304939521,1.0,,,0.0
1212310390542962688,1212183791768236032,1212218109483999233,1.0,,,0.0
1212271028572954624,1212183791768236032,1212255459324899328,1.0,,,0.0
1212258591618584578,1212183791768236032,1212258189300903937,1.0,,,0.0
1212189012783296512,1212183791768236032,1212187194791587840,1.0,,,0.0
1268045543604797441,1267969990386315265,1268045057812312066,0.0,0.0,0.0,
1267972637864517632,1267969990386315265,1267971960991911936,0.0,0.0,0.0,
1365858296947564548,1359038037267742720,1361482842413420544,1.0,,,0.0
1364796322860183554,1359038037267742720,1361482842413420544,0.0,1.0,1.0,
1363317616559939585,1359038037267742720,1361482842413420544,0.0,1.0,0.0,
1361665865654042625,1359038037267742720,1361482842413420544,1.0,,,0.0
286323598602432512,286301069351452672,286320435161870336,1.0,,,0.0
1376564088935944195,1376561614867070989,1376563828788490245,1.0,,,0.0
1483186574707900421,1483185694671523849,1483186091100454912,0.0,0.0,0.0,
1502469128069730309,1502422550063759360,1502459637240455170,0.0,1.0,0.0,
1277277320370421760,1277276937006743552,1277277227395059713,0.0,1.0,0.0,
1078820957027033090,1078785694523449346,1078808370990198784,1.0,,,0.0
1414394747683278861,1414306130130620417,1414383489277997062,1.0,,,0.0
1243807428422008833,1243374808030572544,1243385688797499393,0.0,0.0,1.0,
1243526075038105601,1243374808030572544,1243386971419865088,1.0,,,1.0
1243401973266673664,1243374808030572544,1243386971419865088,0.0,1.0,0.0,
1243401324185579522,1243374808030572544,1243385688797499393,0.0,1.0,0.0,
1235243491594301441,1235232811898019844,1235240944028405761,1.0,,,0.0
1330913843967619073,1330000887452987394,1330913376797667328,1.0,,,1.0
1330898930083766274,1330000887452987394,1330898183426338818,1.0,,,1.0
1330840894396829696,1330000887452987394,1330366815927738368,1.0,,,1.0
1330758251361693698,1330000887452987394,1330334763484393474,1.0,,,1.0
1330713593227005952,1330000887452987394,1330334763484393474,1.0,,,1.0
1330608853352935426,1330000887452987394,1330608158193094664,1.0,,,1.0
1330606781408546817,1330000887452987394,1330366815927738368,0.0,1.0,0.0,
1330603069789401090,1330000887452987394,1330366815927738368,1.0,,,0.0
1330602360905867271,1330000887452987394,1330580510263930881,1.0,,,0.0
1330590338164125698,1330000887452987394,1330366815927738368,1.0,,,1.0
1330589595319275527,1330000887452987394,1330589050969993218,1.0,,,1.0
1330587529150681094,1330000887452987394,1330587218977697796,1.0,,,1.0
1330374930496622599,1330000887452987394,1330366815927738368,1.0,,,1.0
1330329112678952962,1330000887452987394,1330315153146056707,1.0,,,1.0
1156331605948030976,1156143661186506752,1156301755828899841,0.0,0.0,1.0,
1107442776902373377,1107011750463975430,1107402854887624704,1.0,,,0.0
1107442606487863298,1107011750463975430,1107440042614669318,1.0,,,1.0
1107416445787521024,1107011750463975430,1107416103595048960,0.0,0.0,0.0,
1107403208660566018,1107011750463975430,1107328384995069957,1.0,,,0.0
1107331446690234368,1107011750463975430,1107325329398468608,0.0,1.0,0.0,
